,Transcription,Emotion
540,"Actually I want to get a little further up the coast, get away from all like the lights and the people, but...  How are you doing?",xxx
541,Fine.,neu
542,"Okay.  Is that, is that--",exc
543,No.  That's just foam.  I don't know.  I can't tell.,xxx
544,[BREATHING],fru
545,"I don't know, probably if you can't tell, though, it's probably not them, right?  It's probably going to be like this unmistakable thing, right?",xxx
546,Oh no.  you know what I forgot?,xxx
547,What?,xxx
548,"My flashlight.  God, how could I be so stupid?  I can't believe I forgot my flashlight.",xxx
549,What flashlight?,sur
550,"The flashlight, the silver one.  There's only one, isn't there?",neu
551,That's not your flashlight.,neu
552,Whose is it?,neu
553,It's ours; it's my flashlight too.,xxx
554,"Oh...well. Yeah, of course.",neu
555,You keep saying my flashlight like it's just yours.,ang
556,No.,neu
557,How's that supposed to make me feel?,ang
558,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",neu
559,"Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though.",fru
560,Do they always run during a full moon?  I don't remember.  Was it full last year?,neu
561,Yeah.,neu
562,"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",neu
563,"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?",neu
564,"God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up.",exc
565,[LAUGHTER],hap
566,I wonder if they can hear me talk or like feel the vibrations in the sand when we move around.,xxx
567,I'm cold.,sad
568,Do you want my jacket?,fru
569,"It's after eleven, let's go.",xxx
570,What?  We just got here.  What's the point of coming all the way down here if we just turn around and go home?,xxx
571,There is no point.,xxx
572,Right.,neu
573,That's my point.,xxx
574,"Wait, that's my point, too.",neu
575,"Well, then let's go.",fru
576,"No, no.  Okay.  That's not my point.  My point is there is no point in coming down here if we just turn around and go home.  Don't you want to see it?",fru
577,Not particularly.,neu
578,Why not?,neu
579,I just don't.  It's stupid.,xxx
580,"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up.",neu
581,"Pass what up?  I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die.",fru
582,Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.,neu
583,This is a big night for these little guys.  It's like life's last orgy.,neu
584,I don't see why you're so excited; this isn't a freaking moon landing we are talking about.  It's fish.  It's a fish nobody even eats.,xxx
585,Yeah they do.,fru
586,Oh Augie,fru
587,"okay... well, Whatever.  But it's a fish who do something no other fish do.  It's like those swallows returning to Capistrano or like those lemmings that throw themselves off the cliffs.",xxx
588,"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.",neu
589,I'm just not.,xxx
590,For real?,sur
591,Yeah.,fru
592,"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",neu
593,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",neu
594,"Last time, you'll also remember, we got our shoes wet, I got sand in my panties, you got a sore throat and we got into a big fight and we did not see the grunions.",xxx
595,Ahh...we weren't in a good spot.,neu
596,Hmm.  We didn't see them the year before either.,fru
597,"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",neu
598,"Look there, see?  What's that?  No, that's - that's just seaweed.",exc
599,"God, this is great.  Think about this.  I know you are not interested, but just think about this.",hap
600,"Right now out there, there is this mass of silver fish and it's heading this way.  No one sent them an invitation, no one told them, no one even gave them a map.",xxx
601,"Just all at once, they turned and they formed this line as long as the California coast.  And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming.",exc
602,They are swimming right now.  They are swimming as if that is the only thing that matters to them.,xxx
603,It's single mindedness with no mind.  It is urgency that is just pure urge.,exc
604,And they are swimming right now to this very point where we stand for this huge celebration of sex and death.,xxx
605,"Oh look.  I'm giving myself goose bumps, my hairs are standing up on my arm.",xxx
606,That's the wind.,neu
607,So what do you think?,hap
608,About what?,neu
609,"About all of that, about all I was talking about.",hap
610,"Look at this, all of the hairs are standing up on my arm.",exc
611,That's the wind.,neu
612,"Well, so, what do you think?",exc
613,About what?,neu
614,About what I was saying.,neu
615,I think it's ridiculous.,xxx
616,It certainly is not.  It's slightly exaggerated scientific fact.,xxx
617,It's PR! Somebody sold you a bunch of crap that there is this wonderful thing that is going to happen tonight on the beach.,xxx
618,"Not just me, look at all of these people.",fru
619,"Everybody's told the same story.  It keeps us coming back for more, it keeps us excited.  We keep thinking that life is going start at any minute if we can just find the right spot, get in on the action.",xxx
620,"Are we talking about the same thing, here?",xxx
621,"I'm sorry, it's just fish to me.",xxx
622,"Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?",neu
623,"Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting.",ang
624,"Well then, what's bugging you?",fru
625,We just have different ideas of what this night is supposed to look like.,fru
626,"There is nothing to it; we come down here, the fish arrive, they flop around, they do their fish thing.  We go ooh, ah, look at the fish and we go home.",fru
627,"For God- Grow up, Augie.  The fish are not going to arrive.",ang
628,Why not?,fru
629,Because they never do.  Have they...Have they ever?,ang
630,We've missed them twice.,fru
631,Twice is every time we have tried; that's ever.,ang
632,They'll show up this time.,fru
633,No they won't.  It's like waiting for Santa Claus.,xxx
634,I feel like my whole life is going to be spent standing on this beach with my eyes wide open and my hands clasped expectantly waiting for fish to show up.  And the fish never show up.,fru
635,I thought you wanted to see it.,xxx
636,You don't understand anything I am saying.,fru
637,No. Of course not.,fru
638,"I did want to see it, I still do, I always do.  I just...",xxx
639,"I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is.",sad
640,"It's just fish, it's nothing to get traumatized over.",fru
641,"For God's sake, this is not about fish.",ang
642,Okay.  I'm trying to work this backwards and pinpoint the exact moment where we took a turn for the worst here.,fru
643,"Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go.",neu
644,"Okay.  So I am putting out the pets, getting the car out of the garage.",neu
645,Do you remember the first year we came here?  It was like four years after we got married.,neu
646,"We thought I was pregnant, we got a bottle of champagne, we had no glasses.  We took off our shoes and you asked me to dance.",xxx
647,"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be.",hap
648,"Wait a minute, I got it.",xxx
649,"Drinking champagne from the bottle,",xxx
650,"It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne.  I said no, time's a wasting or something like that.",neu
651,dancing barefoot in the sand.,fru
652,"That's what it is?  Right?  You want this to be like the other time, right?",fru
653,I'd rather not remember some things.  I'd rather not hope for some things.,sad
654,Sure.  All right.  Okay.,neu
655,"Listen, do you want to dance?",neu
656,No.,neu
657,Do you want me to go get some champagne?,neu
658,No.,xxx
659,Do you want to take off your shoes?,hap
660,"No, no. Nothing.",fru
661,Then what?,xxx
662,Do you want to get married again?,hap
663,No.,neu
664,What?  What?  Do you want a divorce?,oth
665,A vacation?,xxx
666,No.,fru
667,Like a new carpet?  A poodle?  A back rub?  Ice cream?  A suicide pact?  What do you want?  What the hell do you want?,xxx
668,I just want something to turn out like I expected it to.,xxx
669,"Well welcome to the human race, huh?  Do you think I had some grand fantasy going that four years down the line we would come to this beach and be arguing over fish?  No.",xxx
670,[BREATHING],fru
671,"No I'm just like you.  I thought it was going to be all roses and peaches and the bills would just pay themselves.  And we'll have three, fat rosy cheeked children.  Huh, baby, the joke's on us.  Because you know what you get?",fru
672,Do you know what you get?  You get this.,fru
673,This? What is this?  This is nothing.  This isn't even anything.,fru
674,Yes it is.,neu
675,Sure.  This is standing on the beach waiting.  This is fighting.,xxx
676,Right,xxx
677,"I mean this is a lot of things, but it's just...",fru
678,[BREATHING],fru
679,Do you understand what I am saying?,fru
680,I'm doing the best I can.,fru
681,"I know you are Augie, I know.",sad
682,"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else.",sad
683,"Maybe if you were with someone else, too.",sad
684,I didn't say that.,sad
685,I just- I know I don't make you happy.,sad
